id,assoc,lat,lon,address,city,state,zip,website,founded,emp,vol,empVol,rev,fedFunds,childrenServed,totalEA,totalHousing,totalDV,oppZone,program1,program2,program3,program4,program5,congDist
CT04,YWCA New Britain,41.6639618,-72.7809217,22 Glen Street,New Britain,CT,06051,'http://www.ywcanewbritain.org/','1910',163,99,262,5525063,1127000,1401,225,,,true,Fitness and Athletics,Sexual Assault and Trafficking,Children's and Family Development,Economic Advancement,Women's and Girls' Leadership Development,5
DC01,YWCA National Capital Area,38.9206603,-77.0314674,"2303 14th Street NW, Suite 100",Washington,DC,20009,'https://www.ywcanca.org/','1905',53,58,111,1856569,300000,126,529,,,false,Economic Advancement,,,,,AL
DE01,YWCA Delaware,39.745739,-75.5488407,"100 W. 10th Street, Ste 515",Wilmington,DE,19801,'http://www.ywcade.org/','1895',50,251,301,3263622,1157001,1758,2066,251,267,true,Economic Advancement,Racial Justice and Civil Rights,Sexual Assault and Trafficking,Housing,Domestic Violence and Safety,AL
FL01,YWCA Miami,25.7791239,-80.2007793,351 NW 5th Street,Miami,FL,33128,'http://www.ywca-miami.org/','1919',250,250,500,5153655,,6852,54,,,true,Children's and Family Development,Health and Wellness,Economic Advancement,Racial Justice and Civil Rights,,24|27
FL02,YWCA Palm Beach County,26.7222704,-80.052984,1016 North Dixie Highway,West Palm Beach,FL,33401,'http://www.ywcapbc.org/','1917',48,68,116,2758694,381323,813,389,583,1156,false,Domestic Violence and Safety,Racial Justice and Civil Rights,Children's and Family Development,Women's and Girls' Leadership Development,,20|22
GA01,YWCA Greater Atlanta,33.7806571,-84.3533222,957 North Highland Avenue,Atlanta,GA,30306,'http://www.ywcaatlanta.org/','1902',40,45,85,2083425,44366,1017,134,,,false,Health and Wellness,Children's and Family Development,Racial Justice and Civil Rights,Women's and Girls' Empowerment,Economic Advancement,5
HI01,YWCA Hawaii Island,19.7235034,-155.0888891,145 Ululani Street,Hilo,HI,96720,'http://www.ywcahawaiiisland.org/','1919',54,30,84,2707506,541264,,,,,true,Children's and Family Development,Sexual Assault and Trafficking,,,,2
HI02,YWCA Kauai County,21.9767467,-159.3664259,3094 Elua Street,Lihue,HI,96766,'http://www.ywcakauai.org/','1921',45,57,102,2229230,532452,,,,4871,false,Racial Justice and Civil Rights,Domestic Violence and Safety,Children's and Family Development,Sexual Assault and Trafficking,Economic Advancement,2
HI03,YWCA O'ahu,21.3078684,-157.8600897,1040 Richards Street,Honolulu,HI,96813,'http://www.ywcaoahu.org/','1900',131,139,270,4870094,,1734,2100,,,false,Fitness and Athletics,Women's and Girls' Leadership Development,Economic Advancement,Housing,,1|2
IA01,YWCA Ames-Iowa State University,42.0256035,-93.6505629,210 Lab of Mechanics,Ames,IA,50011,'http://www.ywcaames.org/','1890',6,73,79,62121,,172,112,,,false,Racial Justice and Civil Rights,Women's and Girls' Leadership Development,Children's and Family Development,Economic Advancement,Women's and Girls' Empowerment,4
IA02,YWCA Black Hawk County,42.5001089,-92.3362199,425 Lafayette Street,Waterloo,IA,50703,'http://www.ywcabhc.org/','1911',194,108,302,1171132,,2415,496,,,true,Fitness and Athletics,Children's and Family Development,Health and Wellness,Adult and Community ,Economic Advancement,1
IA03,YWCA Clinton,41.838609,-90.1913344,"317 Seventh Avenue, S",Clinton,IA,52732,'http://www.ywcaclinton.org/','1915',175,73,248,2501013,481762,129,11,220,,true,Fitness and Athletics,Racial Justice and Civil Rights,Housing,Children's and Family Development,Women's and Girls' Empowerment,2
IA04,YWCA Fort Dodge,42.5065061,-94.1867301,826 First Avenue North,Fort Dodge,IA,50501,'http://www.ywca.org/site/pp.asp?c=ljJZJ6MLIuE&b=2619033','1909',23,12,35,1164056,,,,,,true,Health and Wellness,Women's and Girls' Empowerment,,,,4
IA05,YWCA Marshalltown,42.0396485,-92.9151347,108 Washington Street,Marshalltown,IA,50158,'http://www.ymca-ywca.org/','1909',76,103,179,856524,,1140,90,41,1024,false,Fitness and Athletics,Adult and Community ,Immigrant and Refugee,Children's and Family Development,,1
ID01,YWCA Lewiston Clarkston,46.4214159,-117.0294893,300 Main Street,Lewiston,ID,83501,'http://www.ywcaidaho.org/','1919',21,444,465,1434647,941528,36,1555,,,true,Domestic Violence and Safety,Women's and Girls' Empowerment,Children's and Family Development,Sexual Assault and Trafficking,Housing,1
IL01,YWCA Alton,38.890994,-90.1815535,304 E. Third Street,Alton,IL,62002,'http://www.altonywca.com/','1918',28,30,58,388730,,,,,,false,Children's and Family Development,Health and Wellness,Fitness and Athletics,,,12
IL02,YWCA Canton (IL),40.5572853,-90.0364944,111 North Ave A,Canton,IL,61520,'https://www.facebook.com/YWCA-CantonIL-1520364231511318/','1920',52,100,152,2717943,2656000,262,,,,false,Women's and Girls' Empowerment,Children's and Family Development,Racial Justice and Civil Rights,Fitness and Athletics,Women's and Girls' Leadership Development,7
IL03,YWCA Elgin,42.037473,-88.2813883,220 E. Chicago Street,Elgin,IL,60120,'http://www.ywcaelgin.org/','1901',46,301,347,1355351,445000,279,710,,,false,Women's and Girls' Empowerment,Economic Advancement,Racial Justice and Civil Rights,Immigrant and Refugee,Children's and Family Development,8
IL04,YWCA Evanston/North Shore,42.0491323,-87.6891125,1215 Church Street,Evanston,IL,60201,'https://www.kintera.org/site/c.ewK0LoO8LmK6F/b.7964321/k.BD08/Home.htm','1931',85,447,532,4300000,117717,8310,192,,9728,false,Racial Justice and Civil Rights,Domestic Violence and Safety,Fitness and Athletics,Economic Advancement,,9
IL05,YWCA Kankakee,41.1186975,-87.851263,1086 E. Court Street,Kankakee,IL,60901,'http://www.myunitedway.org/ywca','1907',21,327,348,595658,500000,1858,153,130,1389,true,Children's and Family Development,Health and Wellness,,,,2
IL06,YWCA Lake County,42.3783131,-87.9524351,"1425 Tri-State Parkway, Suite 180",Gurnee,IL,60031,'http://www.ywcalakecounty.org/','1922',47,125,172,3129599,,6057,109,200,,false,Health and Wellness,Economic Advancement,Women's and Girls' Leadership Development,Children's and Family Development,,10|14
IL07,YWCA McLean County,40.4906161,-88.9424252,1201 Hershey Road,Bloomington,IL,61704,'http://www.ywcamclean.org/','1908',180,424,604,3750206,,3552,448,200,6395,false,Sexual Assault and Trafficking,Adult and Community ,Racial Justice and Civil Rights,Children's and Family Development,Economic Advancement,18
IL08,YWCA Metropolitan Chicago,41.8823113,-87.6320215,"One N. LaSalle, Suite 1150",Chicago,IL,60602,'http://www.ywcachicago.org/','1876',148,100,248,22014239,6388063,48000,276,,55000,false,Children's and Family Development,Sexual Assault and Trafficking,Economic Advancement,Racial Justice and Civil Rights,Health and Wellness,1|2|4|7|8
IL09,YWCA Northwestern Illinois,42.2671366,-89.0206108,4990 E. State Street,Rockford,IL,61108,'http://www.ywcanwil.org/','1891',45,36,81,1935510,,405,473,42,,false,Economic Advancement,Racial Justice and Civil Rights,Children's and Family Development,Immigrant and Refugee,Domestic Violence and Safety,16|17
IL10,YWCA Pekin,40.566815,-89.6469878,315 Buena Vista,Pekin,IL,61554,'http://www.kintera.org/site/c.duIRJcNZKlL4G/b.8192635/k.BE45/Home.htm','1927',95,86,181,1442529,,708,,,,false,Fitness and Athletics,Racial Justice and Civil Rights,Children's and Family Development,Women's and Girls' Leadership Development,,17
IL11,YWCA Quad Cities,41.5099864,-90.5771786,229 16th Street,Rock Island,IL,61201,'http://www.qcywca.org/','1917',33,43,76,1400000,833000,262,278,,,false,Children's and Family Development,Economic Advancement,Fitness and Athletics,Adult and Community ,Racial Justice and Civil Rights,17
IL12,YWCA Quincy,39.9296583,-91.4051424,"639 York Street, Suite 202",Quincy,IL,62301,'http://www.ywcaquincy.org/','1905',6,16,22,695086,,96,,117,,false,Adult and Community ,Housing,,,,18
IL13,YWCA Sauk Valley,41.7900922,-89.6949739,412 First Avenue,Sterling,IL,61081,'http://www.ywca.org/saukvalley','1924',38,42,80,1201748,788000,469,187,,32604,false,Children's and Family Development,Domestic Violence and Safety,Immigrant and Refugee,Women's and Girls' Empowerment,Economic Advancement,17
IL14,YWCA University of Illinois,40.1065783,-88.2292274,1001 South Wright Street,Champaign,IL,61820,'http://www.ywcauofi.org/','1884',2.5,20,22.5,143717,,28,225,,,true,Racial Justice and Civil Rights,Women's and Girls' Empowerment,Economic Advancement,Women's and Girls' Leadership Development,,13
IN01,YWCA Evansville,37.9721857,-87.5751142,118 Vine St,Evansville,IN,47708,'http://www.ywcaevansville.org/','1911',38,250,288,1601272,210879,402,,179,370,true,Domestic Violence and Safety,Housing,Children's and Family Development,,,8
IN02,YWCA Greater Lafayette,40.423037,-86.8901546,605 North Sixth Street,Lafayette,IN,47901,'http://www.ywcalafayette.org/','1927',81,1117,1198,2573143,453000,6155,220,474,9733,true,Domestic Violence and Safety,Women's and Girls' Empowerment,Racial Justice and Civil Rights,Health and Wellness,Fitness and Athletics,4
IN03,YWCA Muncie,40.1913275,-85.3839318,310 E. Charles Street,Muncie,IN,47305,'http://www.muncieywca.org/','1911',13,13,26,459372,,134,228,,,true,Economic Advancement,Adult and Community ,,,,6
IN04,YWCA North Central Indiana,41.6634427,-86.243229,1102 S. Fellows Street,South Bend,IN,46601,'http://www.ywcancin.org/','1903',65,191,256,3634026,1330000,678,103,131,1094,true,Domestic Violence and Safety,Health and Wellness,Economic Advancement,Sexual Assault and Trafficking,Housing,2
IN05,YWCA Northeast Indiana,41.0887755,-85.134102,1610 Spy Run Avenue,Fort Wayne,IN,46805,'http://www.ywca.org/nein','1894',51,103,154,3110789,200000,1530,42,325,4230,true,Children's and Family Development,Domestic Violence and Safety,Housing,Racial Justice and Civil Rights,Immigrant and Refugee,3
IN06,YWCA Northwest Indiana,41.5884929,-87.3389366,150 W 15th Avenue,Gary,IN,46407,'http://www.ywcanwi.org/','1920',21,17,38,478262,,462,,,,false,Women's and Girls' Empowerment,Economic Advancement,Fitness and Athletics,Children's and Family Development,Health and Wellness,1
KS01,YWCA Northeast Kansas,39.0432077,-95.6790957,225 SW 12th Street,Topeka,KS,66612,'http://www.ywcaneks.org/','1887',96,310,406,1976287,350000,4645,51,,,true,Domestic Violence and Safety,Fitness and Athletics,Sexual Assault and Trafficking,Health and Wellness,Children's and Family Development,2
LA01,YWCA Alexandria-Pineville,31.2683498,-92.4925436,5912 James Street,Alexandria,LA,71303,'http://www.ywcaalex.org/','1946',49,325,374,798165,,1500,,,,false,Fitness and Athletics,Children's and Family Development,Women's and Girls' Leadership Development,,,5
LA02,YWCA Greater Baton Rouge,30.4430075,-91.100661,"8281 Goodwood Boulevard, Suite B1",Baton Rouge,LA,70806,'http://www.ywca-br.org/','1967',67,173,240,2689193,,316,,,,false,,,,,,2|6
LA03,YWCA Greater New Orleans,29.9518573,-90.067925,P.O. Box 50255 (no office),New Orleans,LA,70150,'http://www.ywca.org/neworleans','1911',1,8,9,63379,,1242,,32,,true,,,,,,2
LA04,YWCA Northwest Louisiana,32.493039,-93.74795,850-B Olive Street,Shreveport,LA,71104,'http://www.ywcanwla.org/','1925',9,23,32,232202,146000,14072,,2549,17489,false,Sexual Assault and Trafficking,Health and Wellness,Children's and Family Development,Women's and Girls' Leadership Development,Domestic Violence and Safety,4
MA01,YWCA Boston,42.3486204,-71.0745635,"140 Claredon Street, Suite 403",Boston,MA,02116,'http://www.ywboston.org/','1866',23,23,46,1381914,,2414,,,,false,Children's and Family Development,Racial Justice and Civil Rights,Health and Wellness,Adult and Community ,,7
MA02,YWCA Cambridge,42.3666849,-71.1043422,7 Temple Street,Cambridge,MA,02139,'http://www.ywcacam.org/','1889',43,43,86,1497805,8000,592,,149,,false,Racial Justice and Civil Rights,Housing,Women's and Girls' Leadership Development,,,5|7
MA03,YWCA Central Massachusetts,42.2600388,-71.7988947,1 Salem Square,Worcester,MA,01608,'http://www.ywcacentralmass.org/','1885',204,279,483,6308473,,4056,150,66,4399,true,Domestic Violence and Safety,Fitness and Athletics,Women's and Girls' Empowerment,Children's and Family Development,Racial Justice and Civil Rights,2
MA04,YWCA Greater Newburyport,42.8112028,-70.8747271,13 Market Street,Newburyport,MA,01950,'http://www.ywcanewburyport.org/','1883',108,69,177,2216212,48000,455,18688,164,260,false,Health and Wellness,Racial Justice and Civil Rights,Children's and Family Development,Housing,Women's and Girls' Leadership Development,6
MA05,YWCA Lowell,42.6441422,-71.3086365,97 Central Street Unit 302,Lowell,MA,01852,'https://www.facebook.com/YWCA-Lowell-284589538628591/','1891',12,2,14,545176,187000,3450,30,,,true,Immigrant and Refugee,Children's and Family Development,Health and Wellness,Economic Advancement,,3|6
MA06,YWCA Malden,42.4289547,-71.0713266,54 Washington Street,Malden,MA,02148,'http://www.ywcamalden.org/','1927',50,0,50,1326480,290000,1974,,,,true,Health and Wellness,Children's and Family Development,Economic Advancement,Racial Justice and Civil Rights,Women's and Girls' Empowerment,5
MA07,YWCA Northeastern Massachusetts,42.7089258,-71.1621617,38 Lawrence Street,Lawrence,MA,01840,'http://www.ywcalawrence.org/','1892',128,104,232,6397520,269170,483,378,97,2501,true,Domestic Violence and Safety,Sexual Assault and Trafficking,Children's and Family Development,Fitness and Athletics,Health and Wellness,3|6
MA08,YWCA Southeastern Massachusetts,41.6327946,-70.927211,20 South 6th Street,New Bedford,MA,02740,'http://www.ywcasema.org/','1911',24,80,104,885395,355000,1413,162,17,,true,Health and Wellness,Adult and Community ,Women's and Girls' Empowerment,Racial Justice and Civil Rights,Children's and Family Development,9
MA09,YWCA Western Massachusetts,42.0853825,-72.5351736,One Clough Street,Springfield,MA,01118,'http://www.ywworks.org/','1868',135,200,335,6176718,,131,35,400,2500,false,Domestic Violence and Safety,Sexual Assault and Trafficking,Housing,Women's and Girls' Empowerment,Children's and Family Development,1
MD01,YWCA Annapolis & Anne Arundel County,39.0270843,-76.5009678,"1517 Ritchie Hwy., Ste. 201",Arnold,MD,21012,'http://www.annapolisywca.org/','1918',36,102,138,3122071,,333,,,7450,false,Domestic Violence and Safety,Sexual Assault and Trafficking,,,,3|4
ME01,YWCA Central Maine,44.0932669,-70.1996711,130 East Avenue,Lewiston,ME,04240,'http://www.ywcamaine.org/','1878',33,98,131,969951,119897,1462,,,,false,Fitness and Athletics,Racial Justice and Civil Rights,Women's and Girls' Empowerment,Children's and Family Development,,2
ME02,YWCA Mount Desert,44.386637,-68.2069,36 Mount Desert Street,Bar Harbor,ME,04609,'http://www.ywcamdi.org/','1904',10,112,122,521091,,190,182,105,,false,Housing,Fitness and Athletics,,,,2
MI01,YWCA Great Lakes Bay Region,43.5978801,-83.888042,723 Washington Avenue,Bay City,MI,48732,'http://www.ywcaglbr.org/','1891',5,111,116,410991,,51,394,,,true,Economic Advancement,,,,,5
MI02,YWCA Greater Flint,43.0151657,-83.6856261,310 E. Third Street,Flint,MI,48502,'http://www.ywcaflint.org/','1908',28,123,151,1300000,699200,200,,,291,true,Domestic Violence and Safety,Sexual Assault and Trafficking,,,,5
MI03,YWCA Kalamazoo,42.2931098,-85.5796208,353 E Michigan Avenue,Kalamazoo,MI,49007,'http://www.ywcakalamazoo.org/','1885',76,25,101,2846503,715700,412,,,,true,Domestic Violence and Safety,Children's and Family Development,Sexual Assault and Trafficking,Economic Advancement,Women's and Girls' Leadership Development,6
MI04,YWCA Metropolitan Detroit,42.3335608,-83.03515,985 E. Jefferson Avenue,Detroit,MI,48207,'http://www.ywcadetroit.org/','1895',38,24,62,1622290,622116,290,,1800,1800,true,Domestic Violence and Safety,Housing,Children's and Family Development,,,14
MI05,YWCA West Central Michigan,42.9624118,-85.6670984,"25 Sheldon Boulevard, SE",Grand Rapids,MI,49503,'http://www.ywcawcmi.org/','1900',76,55,131,4500000,1960000,1944,,1044,3417,false,Domestic Violence and Safety,Sexual Assault and Trafficking,Women's and Girls' Empowerment,,,2|3
MN01,YWCA Duluth,46.7882672,-92.0979155,"32 East First Street, Suite 202",Duluth,MN,55802,'http://www.ywcaduluth.org/','1893',29,264,293,859148,,1489,270,24,,true,Children's and Family Development,Women's and Girls' Leadership Development,Women's and Girls' Empowerment,Economic Advancement,Racial Justice and Civil Rights,8
MN02,YWCA Mankato,44.1624225,-94.0041199,500 S. Broad Street,Mankato,MN,56001,'http://www.mankatoywca.org/','1927',13,583,596,768450,,351,,,,true,Racial Justice and Civil Rights,Women's and Girls' Leadership Development,Women's and Girls' Empowerment,Children's and Family Development,Immigrant and Refugee,1
MN03,YWCA Minneapolis,44.9726132,-93.2766784,1130 Nicollet Mall,Minneapolis,MN,55403,'http://www.ywcampls.org/','1891',505,781,1286,21206676,,7871,242,,,false,Fitness and Athletics,Racial Justice and Civil Rights,Children's and Family Development,Health and Wellness,Economic Advancement,5
MN04,YWCA St. Paul,44.9467756,-93.1158642,375 Selby Avenue,St Paul,MN,55102,'http://www.ywcaofstpaul.org/','1907',108,150,258,5288104,1254341,458,150,537,,false,Fitness and Athletics,Racial Justice and Civil Rights,Housing,Economic Advancement,Women's and Girls' Leadership Development,4
MO01,YWCA Metropolitan St. Louis,38.636896,-90.2401919,3820 West Pine Boulevard,St Louis,MO,63108,'http://www.ywcastlouis.org/','1869',308,2260,2568,28964157,1301000,5091,1544,39,59,true,Children's and Family Development,Sexual Assault and Trafficking,Domestic Violence and Safety,Women's and Girls' Leadership Development,Economic Advancement,1|2
MO02,YWCA St. Joseph,39.768552,-94.851078,304 North Eighth Street,St Joseph,MO,64501,'http://ywcasj.org/','1888',59,242,301,2306670,664322,1000,52,604,1270,true,Health and Wellness,Domestic Violence and Safety,Children's and Family Development,Racial Justice and Civil Rights,Sexual Assault and Trafficking,6
MT01,YWCA Billings,45.7782332,-108.5388879,909 Wyoming Avenue,Billings,MT,59101,'http://www.ywcabillings.org/','1907',40,126,166,1659000,428185,393,94,291,558,false,Domestic Violence and Safety,Sexual Assault and Trafficking,Children's and Family Development,Economic Advancement,,AL
MT02,YWCA Great Falls,47.5083819,-111.3045722,220 2nd Street North,Great Falls,MT,59401,'http://www.ywcagreatfalls.org/','1911',13,22,35,499207,237909,1784,62,,702,true,Adult and Community ,Racial Justice and Civil Rights,Children's and Family Development,Sexual Assault and Trafficking,Women's and Girls' Empowerment,AL
MT03,YWCA Helena,46.592201,-112.0398299,501 N Park Avene,Helena,MT,59601,'http://www.ywcahelena.org/','1912',7,216,223,2450721,,3249,910,,,true,Housing,,,,,AL
MT04,YWCA Missoula,46.8773101,-114.0095984,1130 W. Broadway,Missoula,MT,59802,'http://www.ywcaofmissoula.org/','1911',49,286,335,1427533,432636,838,,311,849,true,Housing,Women's and Girls' Empowerment,Women's and Girls' Leadership Development,Racial Justice and Civil Rights,,AL
NC01,YWCA Asheville & Western North Carolina,35.5873686,-82.5602078,185 South French Broad Avenue,Asheville,NC,28801,'http://www.ywcaofasheville.org/','1907',97,113,210,2908681,1049867,679,55,,,true,Children's and Family Development,Racial Justice and Civil Rights,Fitness and Athletics,Health and Wellness,Economic Advancement,10
NC02,YWCA Central Carolinas,35.1836018,-80.8543782,3420 Park Road,Charlotte,NC,28209,'http://www.ywcacentralcarolinas.org/','1902',89,728,817,3424228,290000,2835,2320,195,,false,Economic Advancement,Children's and Family Development,Fitness and Athletics,Housing,,12
NC03,YWCA Greensboro,36.0877023,-79.7616817,1807 E. Wendover Avenue,Greensboro,NC,27405,'https://ywcagsonc.org/','1903',28,259,287,1652030,167000,,,,8500,false,Children's and Family Development,Racial Justice and Civil Rights,Women's and Girls' Empowerment,Housing,,6
NC04,YWCA High Point,35.961425,-80.0101938,112 Gatewood Avenue,High Point,NC,27262,'http://www.ywcahp.com/','1920',44,95,139,1246448,9000,135,70,20,,false,Adult and Community ,Fitness and Athletics,Racial Justice and Civil Rights,Immigrant and Refugee,Women's and Girls' Leadership Development,13
NC05,YWCA Lower Cape Fear,34.1953964,-77.8884827,2815 S. College Road,Wilmington,NC,28412,'http://www.ywca-lowercapefear.org/','1914',9,313,322,1337536,75000,10304,5000,,,false,Racial Justice and Civil Rights,Children's and Family Development,Fitness and Athletics,Adult and Community ,Economic Advancement,7
NC06,YWCA Winston-Salem / Forsyth County,36.090093,-80.246795,313 Indera Mills Court,Winston-Salem,NC,27101,'http://www.ywcaws.org/','1908',111,394,505,2860636,,2130,699,,,false,Fitness and Athletics,Health and Wellness,Economic Advancement,Children's and Family Development,Racial Justice and Civil Rights,5|12
ND01,YWCA Cass Clay,46.8901472,-96.8274461,3100 12th Avenue N,Fargo,ND,58102,'http://www.ywcacassclay.org/','1906',71,1980,2051,3133768,792000,1403,502,69,617,true,Adult and Community ,Economic Advancement,Domestic Violence and Safety,Children's and Family Development,Health and Wellness,AL
ND02,YWCA Minot,48.2334312,-101.2899618,"205 3rd Avenue, SE",Minot,ND,58701,'http://www.ywcaminot.org/','1915',2,87,89,209483,,102,300,550,,true,Housing,Economic Advancement,,,,AL
NE01,YWCA Adams County,40.5890792,-98.3872321,604 N. St. Joseph,Hastings,NE,68901,'http://www.ywcaadamscounty.org/','1916',7,155,162,488045,,2194,389,,,false,Children's and Family Development,Health and Wellness,Women's and Girls' Empowerment,Adult and Community ,Racial Justice and Civil Rights,3
NE02,YWCA Grand Island,40.9086449,-98.3376483,211 East Fonner Park Road,Grand Island,NE,68801,'http://www.ywca-gi.org/','1912',25,29,54,1055648,,9354,,,,false,Children's and Family Development,,,,,3
NE03,YWCA Lincoln,40.7955034,-96.6969945,"1701 S 17th St, Suite 1A",Lincoln,NE,68502,'http://www.ywcalincoln.org/','1886',13,48,61,265254,108000,,,,,false,Children's and Family Development,Racial Justice and Civil Rights,Immigrant and Refugee,Women's and Girls' Leadership Development,,1
NH01,YWCA New Hampshire,42.9929411,-71.4610966,72 Concord Street,Manchester,NH,03109,'http://www.ywcanh.org/','1920',24,268,292,934899,427538,173,150,70,2538,true,Domestic Violence and Safety,Women's and Girls' Empowerment,Sexual Assault and Trafficking,Children's and Family Development,Economic Advancement,1
NJ01,YWCA Bergen County,40.8850845,-74.043657,"214 State Street, Suite 207",Hackensack,NJ,07601,'http://www.ywcabergencounty.org/','1920',252,723,975,5000000,554000,1752,375,,3494,true,Sexual Assault and Trafficking,Adult and Community ,Fitness and Athletics,Racial Justice and Civil Rights,Women's and Girls' Empowerment,5
NJ02,YWCA Princeton,40.3515223,-74.6654389,59 Paul Robeson Place,Princeton,NJ,08540,'http://www.ywcaprinceton.org/','1922',154,575,729,5000000,258000,3556,1477,,,false,Fitness and Athletics,Economic Advancement,Immigrant and Refugee,Health and Wellness,Children's and Family Development,4|12
NJ03,YWCA Union County,40.6647849,-74.2123133,1131 E. Jersey Street,Elizabeth,NJ,07201,'http://www.ywcaunioncounty.org/','1920',41,55,96,2369957,1143290,500,106,29,5002,true,Domestic Violence and Safety,,,,,8|7|10|12
NV01,YWCA Nevada,36.1468299,-115.1439763,"P.O. Box 271182, 2100 Santiago Street",Las Vegas,NV,89106,'http://www.ywcanevada.org/','2013',0,55,55,,,15,,,,false,Racial Justice and Civil Rights,,,,,1|4
NY01,YWCA Binghamton & Broome County,42.0970426,-75.9098446,80 Hawley Street,Binghamton,NY,13901,'http://www.ywcabinghamton.org/','1892',41,25,66,2032725,100000,362,128,290,,false,Health and Wellness,Housing,Adult and Community ,Economic Advancement,Women's and Girls' Empowerment,22
NY02,YWCA Brooklyn,40.685827,-73.980555,"30 Third Avenue,",Brooklyn,NY,11217,'http://www.ywcabklyn.org/','1888',30,112,142,4300000,,3241,586,308,145,false,Women's and Girls' Leadership Development,Adult and Community ,Health and Wellness,Fitness and Athletics,Women's and Girls' Empowerment,7|8|9|11
NY03,YWCA City of New York,40.7062272,-74.0124192,"50 Broadway @ Exchange Place, 13th Floor",New York,NY,10004,'http://www.ywcanyc.org/','1858',169,512,681,8030228,5000000,5815,2110,,,false,Children's and Family Development,Economic Advancement,Women's and Girls' Empowerment,Racial Justice and Civil Rights,,7|10
NY04,YWCA Cortland,42.5983447,-76.1812817,14 Clayton Avenue,Cortland,NY,13045,'http://www.cortlandywca.org/','1913',120,530,650,2550224,131019,178,,70,779,false,Fitness and Athletics,Children's and Family Development,Domestic Violence and Safety,Racial Justice and Civil Rights,Housing,22|24
NY05,YWCA Elmira & Twin Tiers,42.0903659,-76.802279,211 Lake Street,Elmira,NY,14901,'https://www.ywcaelmira.org/','1887',145,40,185,1421450,,20800,,,,true,,,,,,23
NY06,YWCA Genesee County,43.005693,-78.1728119,301 North Street,Batavia,NY,14020,'http://www.ywcagenesee.org/','1910',12,35,47,1011227,144200,587,,26,567,false,Domestic Violence and Safety,Children's and Family Development,,,,27
NY07,YWCA Greater Capitol Region,42.7301974,-73.6934369,21 First Street,Troy,NY,12180,'http://www.ywca-gcr.org/','1883',24,88,112,1320854,160000,400,34,324,,true,Housing,Economic Advancement,,,,19|20
NY08,YWCA Jamestown,42.0973526,-79.2419731,401 North Main Street,Jamestown,NY,14701,'http://www.ywcaofjamestown.com/','1884',76,32,108,1547291,,1972,47,1029,1796,true,Health and Wellness,Children's and Family Development,Housing,,,23
NY09,YWCA Mohawk Valley,43.0996579,-75.2375458,1000 Cornelia Street,Utica,NY,13502,'http://www.ywcamv.org/','1885',41,55,96,2257612,1385226,791,50,174,300,true,Health and Wellness,Sexual Assault and Trafficking,Economic Advancement,,,22
NY10,YWCA Niagara Frontier,43.168632,-78.694311,32 Cottage Street,Lockport,NY,14094,'http://www.ywcaniagarafrontier.org/','1915',125,58,183,2436156,,3273,1929,45,200,true,Economic Advancement,Sexual Assault and Trafficking,Domestic Violence and Safety,Women's and Girls' Leadership Development,Children's and Family Development,27
NY11,YWCA NorthEastern New York,42.8166165,-73.9496617,44 Washington Avenue,Schenectady,NY,12305,'http://www.ywca-northeasternny.org/','1888',79,23,102,2922148,749700,299,200,,,true,Domestic Violence and Safety,Economic Advancement,Health and Wellness,Racial Justice and Civil Rights,Children's and Family Development,20
NY12,YWCA Orange County,41.5021688,-74.0309965,21 West Street,Newburgh,NY,12550,'http://www.ywca-orangecty.org/','1888',12,120,132,345381,,,,,,false,,,,,,18
NY13,YWCA Queens,40.7580603,-73.8187413,4207 Parsons Boulevard,Flushing,NY,11355,'http://www.ywcaqueens.org/','1978',50,74,124,3850472,835000,150,450,,,false,Racial Justice and Civil Rights,Economic Advancement,Immigrant and Refugee,Adult and Community ,Children's and Family Development,6
NY14,YWCA Rochester & Monroe,43.1607952,-77.6082772,175 North Clinton Avenue,Rochester,NY,14604,'http://www.ywcarochester.org/','1883',37,169,206,3139632,689000,649,,811,20,true,Housing,Racial Justice and Civil Rights,Children's and Family Development,Health and Wellness,Domestic Violence and Safety,25|27
NY15,YWCA Syracuse & Onondaga County,43.0607329,-76.1387868,401 Douglas Street,Syracuse,NY,13203,'http://www.ywca-syracuse.org/','1885',60,12,72,1148735,,598,301,59,22,false,Children's and Family Development,Economic Advancement,Housing,Domestic Violence and Safety,,24
NY16,YWCA Ulster County,41.932139,-74.0150948,209 Clinton Avenue,Kingston,NY,12401,'http://www.ywcaulstercounty.org/','1923',40,85,125,1144103,,1749,,,,true,Children's and Family Development,Women's and Girls' Empowerment,Women's and Girls' Leadership Development,Economic Advancement,Health and Wellness,19
NY17,YWCA Western New York,42.9400945,-78.8900835,"1005 Grant Street, Suite 3",Buffalo,NY,14207,'http://www.ywca-wny.org/','1870',34,48,82,912718,792900,2900,41,83,15,false,Children's and Family Development,Housing,Economic Advancement,Domestic Violence and Safety,,26
NY18,YWCA Westfield,42.3201039,-79.577107,58 South Portage Street,Westfield,NY,14787,'http://www.ywcawestfield.org/','1894',17,9,26,363947,,25,,,,false,Women's and Girls' Empowerment,Women's and Girls' Leadership Development,Adult and Community ,,,23
NY19,YWCA White Plains and Central Westchester,41.0196453,-73.7402319,515 North Street,White Plains,NY,10605,'http://www.ywcawpcw.org/','1925',248,47,295,7608652,,6633,,175,5042,false,Domestic Violence and Safety,Fitness and Athletics,Health and Wellness,Children's and Family Development,Adult and Community ,17
