id,assoc,lat,lon,address,city,state,zip,website,founded,emp,vol,empVol,rev,fedFunds,childrenServed,totalEA,totalHousing,totalDV,oppZone,program1,program2,program3,program4,program5,congDist
PA05,YWCA Carlisle,40.2153418,-77.1952643,301 G Street,Carlisle,PA,17013,'http://www.ywcacarlisle.org/','1919',20,262,282,1000000,189685,12514,3000,,6050,true,Health and Wellness,Sexual Assault and Trafficking,Women's and Girls' Empowerment,Economic Advancement,Women's and Girls' Leadership Development,11
PA06,YWCA Gettysburg & Adams County,39.8281486,-77.2475338,909 Fairfield Road,Gettysburg,PA,17325,'http://www.ywcagettysburg.org/','1926',155,570,725,3403283,,1439,119,36,,false,Fitness and Athletics,Adult and Community ,Children's and Family Development,Racial Justice and Civil Rights,Health and Wellness,4
PA07,YWCA Greater Harrisburg,40.2641828,-76.8723002,1101 Market Street,Harrisburg,PA,17103,'http://www.ywcahbg.org/','1894',86,47,133,6294412,,16275,175,300,30989,true,Health and Wellness,Domestic Violence and Safety,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Housing,4|11
PA08,YWCA Greater Johnston,40.3208306,-78.9169915,526 Somerset Street,Johnstown,PA,15901,'http://www.1ywcajohnstown.org/','1913',35,59,94,350265,,208,,,,true,Fitness and Athletics,Children's and Family Development,,,,12
PA09,YWCA Greater Pittsburgh,40.4392206,-80.0017052,305 Wood Street,Pittsburgh,PA,15222,'http://www.ywcapgh.org/','1867',149,50,199,72546956,61780443,813,350,750,2506,false,Women's and Girls' Empowerment,Economic Advancement,Health and Wellness,Racial Justice and Civil Rights,Domestic Violence and Safety,12|14
PA10,YWCA Hanover,39.8011159,-76.9857222,23 West Chestnut Street,Hanover,PA,17331,'http://www.ywcahanover.org/','1920',36,148,184,1542916,401955,,,,,false,Domestic Violence and Safety,Children's and Family Development,Racial Justice and Civil Rights,,,4
PA11,YWCA Lancaster,40.0402999,-76.3020252,110 N. Lime Street,Lancaster,PA,17602,'http://www.ywcalancaster.org/','1889',125,177,302,3987314,1125000,110,,16,562,false,Sexual Assault and Trafficking,Racial Justice and Civil Rights,Children's and Family Development,Women's and Girls' Empowerment,Housing,16
PA12,YWCA Northcentral PA,41.2391369,-77.0181213,815 West Fourth Street,Williamsport,PA,17701,'http://www.ywcawilliamsport.org/','1893',32,139,171,1599578,695045,4522,,974,10215,true,Domestic Violence and Safety,Sexual Assault and Trafficking,Children's and Family Development,Women's and Girls' Empowerment,Racial Justice and Civil Rights,10
PA13,YWCA Oil City,41.427765,-79.710337,109 Central Avenue,Oil City,PA,16301,'http://www.ocywca.org/','1924',15,8,23,300241,,199,,8,,true,Fitness and Athletics,Health and Wellness,Housing,,,5
PA14,YWCA Titusville,41.6282674,-79.6733648,201 N. Franklin Street,Titusville,PA,16354,'http://www.ywcatitusville.org/','1917',6,42,48,350158,,232,,75,,false,Fitness and Athletics,Children's and Family Development,Housing,Health and Wellness,,3|5
PA15,YWCA Tri-County Area,40.2465402,-75.6466737,315 King Street,Pottstown,PA,19464,'http://www.ywcatricountyarea.org/','1908',37,19,56,2000000,1175000,780,,,,true,Health and Wellness,Children's and Family Development,Immigrant and Refugee,,,6
